temperature,ph,turbidity,tds,light,timestamp,risk_score,risk_level
25.65,6.0,8.56,335.25,1.02,2026-03-16 20:36:57.202,15,Safe
25.66,6.01,11.53,334.51,1.6,2026-03-16 20:39:57.202,15,Safe
25.62,6.0,13.1,333.69,0.8,2026-03-16 20:42:57.202,15,Safe
25.66,6.0,12.01,332.09,4.73,2026-03-16 20:45:57.202,15,Safe
25.74,6.01,8.92,331.7,2.68,2026-03-16 20:48:57.202,15,Safe
25.71,6.0,9.23,331.71,2.77,2026-03-16 20:51:57.202,15,Safe
25.69,6.0,9.34,331.58,3.97,2026-03-16 20:54:57.202,15,Safe
25.63,6.03,10.11,332.99,2.37,2026-03-16 20:57:57.202,15,Safe
25.64,6.04,8.92,332.34,1.68,2026-03-16 21:00:57.202,15,Safe
25.72,6.01,10.32,332.8,3.98,2026-03-16 21:03:57.202,15,Safe
25.61,6.0,7.97,332.78,2.92,2026-03-16 21:06:57.202,15,Safe
25.62,6.0,8.39,334.36,0.09,2026-03-16 21:09:57.202,15,Safe
25.61,6.03,8.16,335.27,0.69,2026-03-16 21:12:57.202,15,Safe
25.61,6.05,7.69,335.37,3.86,2026-03-16 21:15:57.202,15,Safe
25.62,6.04,8.25,336.77,1.49,2026-03-16 21:18:57.202,15,Safe
25.71,6.05,6.02,336.76,3.38,2026-03-16 21:21:57.202,15,Safe
25.71,6.04,11.09,336.79,2.21,2026-03-16 21:24:57.202,15,Safe
25.68,6.04,8.83,336.82,1.21,2026-03-16 21:27:57.202,15,Safe
25.79,6.06,7.89,337.58,2.75,2026-03-16 21:30:57.202,15,Safe
25.63,6.05,8.48,338.18,4.54,2026-03-16 21:33:57.202,15,Safe
25.51,6.03,9.01,339.82,4.6,2026-03-16 21:36:57.202,15,Safe
25.67,6.02,8.68,341.38,0.54,2026-03-16 21:39:57.202,15,Safe
25.67,6.0,9.66,341.79,0.56,2026-03-16 21:42:57.202,15,Safe
25.64,6.0,8.54,342.1,4.28,2026-03-16 21:45:57.202,15,Safe
25.7,6.0,8.14,343.41,1.3,2026-03-16 21:48:57.202,15,Safe
25.56,6.0,8.35,343.4,0.59,2026-03-16 21:51:57.202,15,Safe
25.67,6.01,10.33,342.66,3.07,2026-03-16 21:54:57.202,15,Safe
25.67,6.02,5.13,341.54,3.32,2026-03-16 21:57:57.202,15,Safe
25.64,6.02,7.7,341.24,0.31,2026-03-16 22:00:57.202,15,Safe
25.59,6.02,8.5,342.18,0.45,2026-03-16 22:03:57.202,15,Safe
25.61,6.03,7.67,344.64,1.98,2026-03-16 22:06:57.202,15,Safe
25.65,6.01,5.24,344.31,4.67,2026-03-16 22:09:57.202,15,Safe
25.62,6.0,5.67,344.01,4.35,2026-03-16 22:12:57.202,15,Safe
25.66,6.0,7.59,343.63,2.64,2026-03-16 22:15:57.202,15,Safe
25.75,6.0,6.55,344.0,1.24,2026-03-16 22:18:57.202,15,Safe
25.79,6.01,7.79,345.39,0.08,2026-03-16 22:21:57.202,15,Safe
25.68,6.0,7.23,345.46,1.09,2026-03-16 22:24:57.202,15,Safe
25.65,6.01,6.25,347.36,1.6,2026-03-16 22:27:57.202,15,Safe
25.8,6.0,6.43,347.65,3.13,2026-03-16 22:30:57.202,15,Safe
25.76,6.0,5.92,348.4,1.88,2026-03-16 22:33:57.202,15,Safe
25.74,6.0,8.91,348.77,2.79,2026-03-16 22:36:57.202,15,Safe
25.73,6.0,6.05,348.75,1.34,2026-03-16 22:39:57.202,15,Safe
25.84,6.0,5.17,349.73,1.66,2026-03-16 22:42:57.202,15,Safe
25.76,6.01,5.1,349.45,1.02,2026-03-16 22:45:57.202,15,Safe
25.78,6.02,3.64,348.67,0.49,2026-03-16 22:48:57.202,15,Safe
25.69,6.04,6.79,347.66,1.3,2026-03-16 22:51:57.202,15,Safe
25.76,6.06,5.81,348.47,3.42,2026-03-16 22:54:57.202,15,Safe
25.7,6.03,5.76,349.63,2.44,2026-03-16 22:57:57.202,15,Safe
25.68,6.04,5.87,348.97,2.06,2026-03-16 23:00:57.202,15,Safe
25.66,6.08,5.88,348.75,2.42,2026-03-16 23:03:57.202,15,Safe
25.69,6.1,6.29,349.17,3.37,2026-03-16 23:06:57.202,15,Safe
25.51,6.07,3.95,348.62,1.98,2026-03-16 23:09:57.202,15,Safe
25.57,6.08,5.49,349.12,3.8,2026-03-16 23:12:57.202,15,Safe
25.6,6.06,5.48,350.33,2.83,2026-03-16 23:15:57.202,15,Safe
25.62,6.09,5.32,349.7,0.37,2026-03-16 23:18:57.202,15,Safe
25.67,6.11,6.34,348.55,3.56,2026-03-16 23:21:57.202,15,Safe
25.51,6.12,5.39,347.2,0.7,2026-03-16 23:24:57.202,15,Safe
25.64,6.12,5.66,346.63,4.77,2026-03-16 23:27:57.202,15,Safe
25.58,6.12,3.63,347.18,86.37,2026-03-16 23:30:57.202,15,Safe
25.68,6.13,5.51,347.22,92.66,2026-03-16 23:33:57.202,15,Safe
25.66,6.14,6.0,346.99,73.25,2026-03-16 23:36:57.202,15,Safe
25.74,6.15,5.23,346.74,23.89,2026-03-16 23:39:57.202,15,Safe
25.68,6.17,5.58,346.85,21.64,2026-03-16 23:42:57.202,15,Safe
25.63,6.18,7.36,346.66,26.23,2026-03-16 23:45:57.202,15,Safe
25.69,6.17,5.23,348.8,117.29,2026-03-16 23:48:57.202,15,Safe
25.6,6.18,7.52,349.68,66.56,2026-03-16 23:51:57.202,15,Safe
25.54,6.2,6.16,349.47,86.58,2026-03-16 23:54:57.202,15,Safe
25.61,6.19,7.82,349.69,57.96,2026-03-16 23:57:57.202,15,Safe
25.61,6.21,3.89,348.76,57.08,2026-03-17 00:00:57.202,15,Safe
25.59,6.21,7.38,350.01,23.92,2026-03-17 00:03:57.202,15,Safe
25.63,6.2,7.47,349.21,116.4,2026-03-17 00:06:57.202,15,Safe
25.64,6.22,5.98,347.51,96.1,2026-03-17 00:09:57.202,15,Safe
25.67,6.23,7.38,346.48,29.88,2026-03-17 00:12:57.202,15,Safe
25.61,6.23,3.94,347.15,100.07,2026-03-17 00:15:57.202,15,Safe
25.61,6.23,6.3,347.11,73.78,2026-03-17 00:18:57.202,15,Safe
25.67,6.23,8.19,347.61,77.18,2026-03-17 00:21:57.202,15,Safe
25.72,6.22,4.4,346.84,49.23,2026-03-17 00:24:57.202,15,Safe
25.68,6.22,4.61,347.34,103.78,2026-03-17 00:27:57.202,15,Safe
25.65,6.24,6.24,347.89,34.22,2026-03-17 00:30:57.202,15,Safe
25.69,6.24,6.87,348.71,119.99,2026-03-17 00:33:57.202,15,Safe
25.59,6.22,5.95,349.31,100.6,2026-03-17 00:36:57.202,15,Safe
25.59,6.19,5.68,349.36,94.91,2026-03-17 00:39:57.202,15,Safe
25.55,6.17,7.99,349.22,26.99,2026-03-17 00:42:57.202,15,Safe
25.68,6.15,5.93,349.67,102.16,2026-03-17 00:45:57.202,15,Safe
25.62,6.16,7.86,350.02,39.88,2026-03-17 00:48:57.202,15,Safe
25.59,6.17,5.65,350.01,21.23,2026-03-17 00:51:57.202,15,Safe
25.66,6.16,2.72,350.47,86.33,2026-03-17 00:54:57.202,15,Safe
25.63,6.17,4.46,350.5,89.7,2026-03-17 00:57:57.202,15,Safe
25.62,6.17,9.5,351.28,107.41,2026-03-17 01:00:57.202,15,Safe
25.62,6.17,4.85,350.79,91.94,2026-03-17 01:03:57.202,15,Safe
25.58,6.19,5.16,350.23,43.2,2026-03-17 01:06:57.202,15,Safe
25.67,6.19,4.83,350.8,97.31,2026-03-17 01:09:57.202,15,Safe
25.66,6.21,8.28,349.68,83.25,2026-03-17 01:12:57.202,15,Safe
25.61,6.21,4.19,349.31,47.08,2026-03-17 01:15:57.202,15,Safe
25.7,6.22,6.04,350.09,15.98,2026-03-17 01:18:57.202,15,Safe
25.7,6.22,6.04,350.6,47.9,2026-03-17 01:21:57.202,15,Safe
25.66,6.19,5.57,350.09,83.25,2026-03-17 01:24:57.202,15,Safe
25.71,6.2,5.91,350.1,94.01,2026-03-17 01:27:57.202,15,Safe
25.66,6.2,5.17,348.89,642.56,2026-03-17 01:30:57.202,15,Safe
25.58,6.19,6.25,351.34,908.73,2026-03-17 01:33:57.202,15,Safe
25.64,6.19,2.55,351.79,824.96,2026-03-17 01:36:57.202,15,Safe
25.59,6.2,6.28,352.79,187.46,2026-03-17 01:39:57.202,15,Safe
25.57,6.18,5.97,353.54,378.1,2026-03-17 01:42:57.202,15,Safe
25.56,6.2,6.98,353.19,752.34,2026-03-17 01:45:57.202,15,Safe
25.51,6.21,5.97,353.54,717.17,2026-03-17 01:48:57.202,15,Safe
25.59,6.21,6.91,353.4,873.6,2026-03-17 01:51:57.202,15,Safe
25.69,6.23,7.57,353.67,534.18,2026-03-17 01:54:57.202,15,Safe
25.79,6.22,5.16,354.92,323.87,2026-03-17 01:57:57.202,15,Safe
25.68,6.24,7.69,355.71,478.82,2026-03-17 02:00:57.202,15,Safe
25.64,6.26,8.13,356.08,184.57,2026-03-17 02:03:57.202,15,Safe
25.7,6.26,9.5,356.23,507.52,2026-03-17 02:06:57.202,15,Safe
25.77,6.25,6.51,356.34,429.24,2026-03-17 02:09:57.202,15,Safe
25.83,6.25,8.38,355.27,484.35,2026-03-17 02:12:57.202,15,Safe
25.82,6.25,7.42,355.95,185.11,2026-03-17 02:15:57.202,15,Safe
25.74,6.23,7.14,356.22,793.47,2026-03-17 02:18:57.202,15,Safe
25.72,6.24,7.82,356.65,493.9,2026-03-17 02:21:57.202,15,Safe
25.73,6.24,7.21,355.55,633.29,2026-03-17 02:24:57.202,15,Safe
25.7,6.24,8.29,355.78,153.08,2026-03-17 02:27:57.202,15,Safe
25.68,6.24,15.25,360.15,1768.5,2026-03-17 02:30:57.202,15,Safe
25.66,6.25,18.06,363.12,2010.21,2026-03-17 02:33:57.202,15,Safe
25.66,6.23,15.93,365.88,2010.45,2026-03-17 02:36:57.202,15,Safe
25.64,6.22,17.46,370.7,2497.78,2026-03-17 02:39:57.202,15,Safe
25.71,6.2,12.69,374.35,3165.68,2026-03-17 02:42:57.202,15,Safe
25.78,6.24,23.18,379.06,2589.9,2026-03-17 02:45:57.202,30,Safe
25.86,6.22,18.05,384.62,1502.48,2026-03-17 02:48:57.202,15,Safe
25.66,6.22,22.82,387.89,2722.85,2026-03-17 02:51:57.202,30,Safe
25.67,6.21,21.36,390.73,2161.14,2026-03-17 02:54:57.202,30,Safe
25.81,6.23,18.34,396.5,3261.82,2026-03-17 02:57:57.202,15,Safe
25.69,6.23,21.54,399.36,1405.43,2026-03-17 03:00:57.202,30,Safe
25.73,6.21,15.33,398.81,2649.5,2026-03-17 03:03:57.202,15,Safe
25.73,6.2,15.49,397.32,2222.75,2026-03-17 03:06:57.202,15,Safe
25.73,6.2,13.57,397.53,1660.7,2026-03-17 03:09:57.202,15,Safe
25.59,6.21,12.77,397.06,2078.19,2026-03-17 03:12:57.202,15,Safe
25.73,6.21,15.35,396.41,1614.25,2026-03-17 03:15:57.202,15,Safe
25.69,6.21,15.5,396.46,2774.11,2026-03-17 03:18:57.202,15,Safe
25.57,6.21,12.79,395.75,1951.89,2026-03-17 03:21:57.202,15,Safe
25.49,6.19,13.61,395.41,1939.61,2026-03-17 03:24:57.202,15,Safe
25.42,6.18,15.63,396.64,2650.86,2026-03-17 03:27:57.202,15,Safe
25.52,6.16,14.54,397.73,2007.86,2026-03-17 03:30:57.202,15,Safe
25.72,6.16,12.12,398.38,1665.59,2026-03-17 03:33:57.202,15,Safe
25.69,6.15,14.11,398.43,2128.72,2026-03-17 03:36:57.202,15,Safe
25.7,6.15,12.03,397.28,2621.99,2026-03-17 03:39:57.202,15,Safe
25.61,6.17,14.17,397.71,1876.7,2026-03-17 03:42:57.202,15,Safe
25.61,6.16,12.96,398.01,2585.71,2026-03-17 03:45:57.202,15,Safe
25.62,6.15,15.67,397.85,2402.85,2026-03-17 03:48:57.202,15,Safe
25.71,6.13,15.54,397.75,2790.02,2026-03-17 03:51:57.202,15,Safe
25.68,6.1,14.26,398.06,2831.1,2026-03-17 03:54:57.202,15,Safe
25.62,6.1,16.32,397.5,1668.55,2026-03-17 03:57:57.202,15,Safe
25.56,6.11,12.38,396.85,2670.88,2026-03-17 04:00:57.202,15,Safe
25.61,6.11,14.82,396.88,2584.91,2026-03-17 04:03:57.202,15,Safe
25.62,6.12,10.22,397.01,2650.26,2026-03-17 04:06:57.202,15,Safe
25.54,6.1,11.71,396.73,1968.35,2026-03-17 04:09:57.202,15,Safe
25.64,6.09,9.8,396.49,1921.26,2026-03-17 04:12:57.202,15,Safe
25.62,6.07,14.9,397.31,2803.26,2026-03-17 04:15:57.202,15,Safe
25.76,6.08,12.97,397.63,3053.08,2026-03-17 04:18:57.202,15,Safe
25.69,6.08,11.21,398.4,2481.82,2026-03-17 04:21:57.202,15,Safe
25.64,6.08,10.67,398.41,2806.82,2026-03-17 04:24:57.202,15,Safe
25.62,6.08,10.9,398.32,2304.35,2026-03-17 04:27:57.202,15,Safe
25.73,6.07,10.85,399.22,1695.28,2026-03-17 04:30:57.202,15,Safe
25.83,6.06,10.74,398.95,2586.99,2026-03-17 04:33:57.202,15,Safe
25.97,6.06,11.36,400.3,1528.62,2026-03-17 04:36:57.202,15,Safe
25.92,6.08,13.44,400.3,1778.26,2026-03-17 04:39:57.202,15,Safe
25.94,6.07,12.19,399.85,1386.85,2026-03-17 04:42:57.202,15,Safe
26.03,6.05,11.19,400.62,1452.83,2026-03-17 04:45:57.202,15,Safe
26.03,6.05,10.97,401.13,1699.63,2026-03-17 04:48:57.202,15,Safe
26.09,6.06,11.8,401.63,2778.81,2026-03-17 04:51:57.202,15,Safe
26.06,6.03,10.59,402.58,2914.97,2026-03-17 04:54:57.202,15,Safe
25.93,6.02,11.79,402.51,1310.02,2026-03-17 04:57:57.202,15,Safe
25.96,6.02,10.34,403.21,2332.36,2026-03-17 05:00:57.202,15,Safe
25.92,6.01,9.41,403.22,2507.15,2026-03-17 05:03:57.202,15,Safe
25.95,6.03,10.48,404.21,1956.56,2026-03-17 05:06:57.202,15,Safe
25.96,6.04,12.55,404.4,1527.36,2026-03-17 05:09:57.202,15,Safe
26.0,6.04,11.27,404.87,1971.48,2026-03-17 05:12:57.202,15,Safe
25.95,6.04,10.64,403.97,1663.27,2026-03-17 05:15:57.202,15,Safe
25.88,6.05,12.54,403.89,1836.65,2026-03-17 05:18:57.202,15,Safe
25.88,6.06,9.46,403.37,2249.5,2026-03-17 05:21:57.202,15,Safe
25.92,6.06,8.37,403.92,2510.77,2026-03-17 05:24:57.202,15,Safe
25.96,6.05,9.46,403.99,2355.97,2026-03-17 05:27:57.202,15,Safe
25.95,6.05,8.63,405.03,2372.25,2026-03-17 05:30:57.202,15,Safe
25.91,6.07,6.33,405.5,2134.5,2026-03-17 05:33:57.202,15,Safe
25.9,6.08,8.42,405.02,2628.85,2026-03-17 05:36:57.202,15,Safe
25.94,6.1,7.87,405.8,2659.88,2026-03-17 05:39:57.202,15,Safe
25.91,6.09,11.9,406.0,1600.52,2026-03-17 05:42:57.202,15,Safe
25.94,6.08,8.23,406.85,2637.52,2026-03-17 05:45:57.202,15,Safe
25.96,6.07,6.34,408.07,1401.0,2026-03-17 05:48:57.202,15,Safe
25.99,6.08,11.27,408.59,2662.01,2026-03-17 05:51:57.202,15,Safe
25.95,6.08,8.29,408.55,2356.22,2026-03-17 05:54:57.202,15,Safe
25.92,6.09,10.01,409.49,2458.19,2026-03-17 05:57:57.202,15,Safe
25.95,6.09,10.01,411.1,1493.27,2026-03-17 06:00:57.202,15,Safe
26.03,6.07,8.29,412.86,2923.42,2026-03-17 06:03:57.202,15,Safe
25.96,6.09,8.94,413.37,2530.97,2026-03-17 06:06:57.202,15,Safe
25.96,6.1,5.73,414.26,1907.56,2026-03-17 06:09:57.202,15,Safe
25.89,6.11,8.95,415.66,3081.38,2026-03-17 06:12:57.202,15,Safe
26.0,6.09,8.76,415.08,1842.75,2026-03-17 06:15:57.202,15,Safe
25.96,6.09,9.04,414.49,2939.16,2026-03-17 06:18:57.202,15,Safe
25.98,6.08,8.14,415.85,2069.33,2026-03-17 06:21:57.202,15,Safe
25.89,6.1,7.18,415.58,2671.22,2026-03-17 06:24:57.202,15,Safe
25.93,6.07,7.3,416.13,2187.79,2026-03-17 06:27:57.202,15,Safe
26.01,6.08,9.54,416.04,2685.61,2026-03-17 06:30:57.202,15,Safe
